place_name,state,direction,place_type,location_link
Tirthan Valley,Himachal Pradesh,North,Valley,https://www.example.com/tirthan-valley
Zanskar Valley,Ladakh,North,Valley,https://www.example.com/zanskar-valley
Nubra Valley,Ladakh,North,Valley,https://www.example.com/nubra-valley
Srinagar,Jammu and Kashmir,North,City,https://www.example.com/srinagar
Gulmarg,Jammu and Kashmir,North,Hill Station,https://www.example.com/gulmarg
Pahalgam,Jammu and Kashmir,North,Hill Station,https://www.example.com/pahalgam
Sonamarg,Jammu and Kashmir,North,Hill Station,https://www.example.com/sonamarg
Yusmarg,Jammu and Kashmir,North,Hill Station,https://www.example.com/yusmarg
Patnitop,Jammu and Kashmir,North,Hill Station,https://www.example.com/patnitop
Katra,Jammu and Kashmir,North,Town,https://www.example.com/katra
Bhaderwah,Jammu and Kashmir,North,Town,https://www.example.com/bhaderwah
Kishtwar,Jammu and Kashmir,North,Town,https://www.example.com/kishtwar
Leh,Ladakh,North,Town,https://www.example.com/leh
Bokaro Steel City,Jharkhand,East,City,https://www.example.com/bokaro-steel-city
Jamshedpur,Jharkhand,East,City,https://www.example.com/jamshedpur
Deoghar,Jharkhand,East,Town,https://www.example.com/deoghar
Netarhat,Jharkhand,East,Hill Station,https://www.example.com/netarhat
Betla National Park,Jharkhand,East,National Park,https://www.example.com/betla-national-park
Jharkhand Tribal Museum,Jharkhand,East,Museum,https://www.example.com/jharkhand-tribal-museum
Rock Garden,Jharkhand,East,Garden,https://www.example.com/rock-garden
Dassam Falls,Jharkhand,East,Waterfall,https://www.example.com/dassam-falls
Jonha Falls,Jharkhand,East,Waterfall,https://www.example.com/jonha-falls
Patratu Valley,Jharkhand,East,Valley,https://www.example.com/patratu-valley
Hazaribagh,Jharkhand,East,Town,https://www.example.com/hazaribagh
Giridih,Jharkhand,East,Town,https://www.example.com/giridih
Murudeshwar,Karnataka,South,Town,https://www.example.com/murudeshwar
Chikmagalur,Karnataka,South,Hill Station,https://www.example.com/chikmagalur
Hampi,Karnataka,South,Historical Site,https://www.example.com/hampi
Mysore,Karnataka,South,City,https://www.example.com/mysore
Coorg,Karnataka,South,Hill Station,https://www.example.com/coorg
Jog Falls,Karnataka,South,Waterfall,https://www.example.com/jog-falls
Badami,Karnataka,South,Historical Site,https://www.example.com/badami
Pattadakal,Karnataka,South,Historical Site,https://www.example.com/pattadakal
Bijapur,Karnataka,South,City,https://www.example.com/bijapur
Aihole,Karnataka,South,Historical Site,https://www.example.com/aihole
Gokarna,Karnataka,South,Beach Town,https://www.example.com/gokarna
Udupi,Karnataka,South,Town,https://www.example.com/udupi
Hastinapur,Uttar Pradesh,North,Historical Site,https://www.example.com/hastinapur
Agra,Uttar Pradesh,North,City,https://www.example.com/agra
Varanasi,Uttar Pradesh,North,City,https://www.example.com/varanasi
Sravasti,Uttar Pradesh,North,Religious Site,https://www.example.com/sravasti
Mathura,Uttar Pradesh,North,City,https://www.example.com/mathura
Ayodhya,Uttar Pradesh,North,Religious Site,https://www.example.com/ayodhya
Lucknow,Uttar Pradesh,North,City,https://www.example.com/lucknow
Kanpur,Uttar Pradesh,North,City,https://www.example.com/kanpur
Allahabad,Uttar Pradesh,North,City,https://www.example.com/allahabad
Meerut,Uttar Pradesh,North,City,https://www.example.com/meerut
Bareilly,Uttar Pradesh,North,City,https://www.example.com/bareilly
Gorakhpur,Uttar Pradesh,North,City,https://www.example.com/gorakhpur
Aligarh,Uttar Pradesh,North,City,https://www.example.com/aligarh
Jhansi,Uttar Pradesh,North,City,https://www.example.com/jhansi
Mathura Vrindavan,Uttar Pradesh,North,City,https://www.example.com/mathura-vrindavan
Sarnath,Uttar Pradesh,North,Religious Site,https://www.example.com/sarnath
Kushinagar,Uttar Pradesh,North,Religious Site,https://www.example.com/kushinagar
Haridwar,Uttarakhand,North,City,https://www.example.com/haridwar
Rishikesh,Uttarakhand,North,City,https://www.example.com/rishikesh
Kedarnath,Uttarakhand,North,Religious Site,https://www.example.com/kedarnath
Badrinath,Uttarakhand,North,Religious Site,https://www.example.com/badrinath
Gangotri,Uttarakhand,North,Religious Site,https://www.example.com/gangotri
Yamunotri,Uttarakhand,North,Religious Site,https://www.example.com/yamunotri
Valley of Flowers,Uttarakhand,North,National Park,https://www.example.com/valley-of-flowers
Nainital,Uttarakhand,North,Hill Station,https://www.example.com/nainital
Mussoorie,Uttarakhand,North,Hill Station,https://www.example.com/mussoorie
Auli,Uttarakhand,North,Hill Station,https://www.example.com/auli
Kolkata,West Bengal,East,City,https://www.example.com/kolkata
Kharaghpur,West Bengal,East,City,https://www.example.com/kharaghpur
Digha,West Bengal,East,Beach Town,https://www.example.com/digha
Darjeeling,West Bengal,East,Hill Station,https://www.example.com/darjeeling
Sundarbans,West Bengal,East,National Park,https://www.example.com/sundarbans
Mirik,West Bengal,East,Hill Station,https://www.example.com/mirik
Shantiniketan,West Bengal,East,Town,https://www.example.com/shantiniketan
Murshidabad,West Bengal,East,Historical Site,https://www.example.com/murshidabad
Mandarmani,West Bengal,East,Beach Town,https://www.example.com/mandarmani
Bishnupur,West Bengal,East,Town,https://www.example.com/bishnupur
Kalimpong,West Bengal,East,Hill Station,https://www.example.com/kalimpong
Kurseong,West Bengal,East,Hill Station,https://www.example.com/kurseong
Siliguri,West Bengal,East,City,https://www.example.com/siliguri
